strain,phage,interaction
NILS05,55989_P2,1
ROAR387,55989_P2,1
B6A1,55989_P2,1
ECOR31,55989_P2,0
LMR3158,55989_P2,0
ROAR131,55989_P2,0
ROAR059,55989_P2,1
EDL933,55989_P2,0
ECOR37,55989_P2,1
ROAR029,55989_P2,0
IAI05,55989_P2,1
ROAR012,55989_P2,1
NILS45,55989_P2,1
H442,55989_P2,1
E2052,55989_P2,1
TW10509,55989_P2,1
H009,55989_P2,1
H384,55989_P2,1
E7519,55989_P2,1
NILS31,55989_P2,0
370D,55989_P2,1
E4962,55989_P2,1
M863,55989_P2,1
IAI32,55989_P2,1
IAI45,55989_P2,1
ROAR185,55989_P2,1
H10030019BM,55989_P2,0
C2119,55989_P2,1
B1747,55989_P2,1
H10040007OM,55989_P2,0
B12I13,55989_P2,1
E1492,55989_P2,1
B253,55989_P2,0
EFERGUSONIIIVAN,55989_P2,0
ATCC35469T,55989_P2,1
ROAR344,55989_P2,0
B691,55989_P2,1
ROAR176,55989_P2,0
ROAR220,55989_P2,0
ROAR130,55989_P2,0
ROAR129,55989_P2,0
ROAR292,55989_P2,0
ROAR145,55989_P2,1
ROAR043,55989_P2,1
ROAR438,55989_P2,0
ROAR291,55989_P2,0
ROAR116,55989_P2,1
B49,55989_P2,0
ROAR019,55989_P2,0
B1147,55989_P2,1
S1109,55989_P2,0
EALBERTIICIP107988T,55989_P2,0
S184,55989_P2,0
B090,55989_P2,1
B156,55989_P2,0
S191,55989_P2,0
B992,55989_P2,1
ECOR54,LF82_P8,1
DIJ06,LF82_P8,1
ECOR52,LF82_P8,0
ECOR51,LF82_P8,1
ECOR55,LF82_P8,1
IAI54,LF82_P8,1
ECOR57,LF82_P8,1
IAI72,LF82_P8,1
NILS59,LF82_P8,1
LF31,LF82_P8,0
NILS71,LF82_P8,1
AN17,LF82_P8,1
T147,LF82_P8,1
ECOR56,LF82_P8,1
NILS74,LF82_P8,1
IAI68,LF82_P8,1
IAI62,LF82_P8,0
IAI63,LF82_P8,0
NILS79,LF82_P8,1
NILS72,LF82_P8,1
IAI76,LF82_P8,1
IAI75,LF82_P8,1
NILS29,LF82_P8,1
NILS65,LF82_P8,1
IAI57,LF82_P8,0
IAI82,LF82_P8,1
IAI73,LF82_P8,0
536,LF82_P8,1
IAI64,LF82_P8,1
NILS81,LF82_P8,1
IAI55,LF82_P8,1
IAI70,LF82_P8,1
NILS82,LF82_P8,1
NILS78,LF82_P8,1
NILS57,LF82_P8,1
AL505,LF82_P8,1
NILS67,LF82_P8,1
IAI60,LF82_P8,1
IAI66,LF82_P8,0
IAI46,LF82_P8,1
LF7074,LF82_P8,1
IAI56,LF82_P8,1
IAI61,LF82_P8,1
ECOR61,LF82_P8,1
ECOR62,LF82_P8,1
IAI38,LF82_P8,1
IAI59,LF82_P8,1
IAI69,LF82_P8,1
IAI65,LF82_P8,1
NILS68,LF82_P8,1
NILS21,LF82_P8,1
NILS66,LF82_P8,1
ECOR59,LF82_P8,0
ECOR60,LF82_P8,1
IAI71,LF82_P8,1
NILS75,LF82_P8,1
IAI77,LF82_P8,1
NILS70,LF82_P8,0
ECOR53,LF82_P8,1
IAI74,LF82_P8,1
NILS54,LF82_P8,1
T145,LF82_P8,0
IAI51,LF82_P8,1
NILS62,LF82_P8,0
MT1B1,LF82_P8,0
NILS61,LF82_P8,1
LF82,LF82_P8,1
LF73,LF82_P8,1
NRG807C,LF82_P8,1
NILS26,LF82_P8,1
NILS80,LF82_P8,1
IAI53,LF82_P8,0
T205,LF82_P8,0
ED1A,LF82_P8,1
