strain,phage,interaction
ROAR129,55989_P1,0
ROAR292,55989_P1,0
ROAR145,55989_P1,0
ROAR043,55989_P1,0
ROAR438,55989_P1,0
ROAR291,55989_P1,0
ROAR116,55989_P1,0
B49,55989_P1,0
ROAR019,55989_P1,1
B1147,55989_P1,0
S1109,55989_P1,0
EALBERTIICIP107988T,55989_P1,0
S184,55989_P1,0
B090,55989_P1,0
B156,55989_P1,0
S191,55989_P1,0
B992,55989_P1,0
ECOR54,AN17_P1,0
DIJ06,AN17_P1,0
ECOR52,AN17_P1,0
ECOR51,AN17_P1,1
ECOR55,AN17_P1,1
IAI54,AN17_P1,0
ECOR57,AN17_P1,0
IAI72,AN17_P1,1
NILS59,AN17_P1,0
LF31,AN17_P1,0
NILS71,AN17_P1,0
AN17,AN17_P1,1
T147,AN17_P1,0
ECOR56,AN17_P1,1
NILS74,AN17_P1,1
IAI68,AN17_P1,1
IAI62,AN17_P1,0
IAI63,AN17_P1,0
NILS79,AN17_P1,0
NILS72,AN17_P1,0
IAI76,AN17_P1,0
IAI75,AN17_P1,1
NILS29,AN17_P1,0
NILS65,AN17_P1,0
IAI57,AN17_P1,0
IAI82,AN17_P1,1
IAI73,AN17_P1,0
536,AN17_P1,1
IAI64,AN17_P1,1
NILS81,AN17_P1,1
IAI55,AN17_P1,0
IAI70,AN17_P1,0
NILS82,AN17_P1,1
NILS78,AN17_P1,0
NILS57,AN17_P1,1
AL505,AN17_P1,0
NILS67,AN17_P1,1
IAI60,AN17_P1,1
IAI66,AN17_P1,1
IAI46,AN17_P1,0
LF7074,AN17_P1,0
IAI56,AN17_P1,1
IAI61,AN17_P1,0
ECOR61,AN17_P1,1
ECOR62,AN17_P1,1
IAI38,AN17_P1,1
IAI59,AN17_P1,1
IAI69,AN17_P1,1
IAI65,AN17_P1,1
NILS68,AN17_P1,1
NILS21,AN17_P1,0
NILS66,AN17_P1,1
ECOR59,AN17_P1,0
ECOR60,AN17_P1,0
IAI71,AN17_P1,0
NILS75,AN17_P1,0
IAI77,AN17_P1,0
NILS70,AN17_P1,0
ECOR53,AN17_P1,0
IAI74,AN17_P1,1
NILS54,AN17_P1,1
T145,AN17_P1,0
IAI51,AN17_P1,1
NILS62,AN17_P1,0
MT1B1,AN17_P1,0
NILS61,AN17_P1,0
LF82,AN17_P1,0
LF73,AN17_P1,0
NRG807C,AN17_P1,1
NILS26,AN17_P1,0
NILS80,AN17_P1,1
IAI53,AN17_P1,0
T205,AN17_P1,0
ED1A,AN17_P1,0
034026C1,AN17_P1,0
035004,AN17_P1,0
VDG427,AN17_P1,0
IAI48,AN17_P1,0
BEN4D,AN17_P1,0
NILS20,AN17_P1,0
034008,AN17_P1,0
001031C1,AN17_P1,0
013008,AN17_P1,0
COLF12G,AN17_P1,0
381A,AN17_P1,0
ECOR65,AN17_P1,0
IAI49,AN17_P1,1
NILS77,AN17_P1,0
IAI78,AN17_P1,0
IAI81,AN17_P1,1
IAI79,AN17_P1,1
IAI80,AN17_P1,1
ECOR64,AN17_P1,1
IAI67,AN17_P1,0
NILS28,AN17_P1,1
NILS58,AN17_P1,0
IAI47,AN17_P1,0
ECOR63,AN17_P1,1
ASP51G,AN17_P1,1
S176,AN17_P1,0
H10030035DE,AN17_P1,0
S21,AN17_P1,1
FN116,AN17_P1,0
FNB9,AN17_P1,0
FN126,AN17_P1,0
S111,AN17_P1,0
FN89,AN17_P1,0
NILS64,AN17_P1,0
LI10,AN17_P1,0
NILS25,AN17_P1,0
NILS55,AN17_P1,0
NILS27,AN17_P1,1
NILS73,AN17_P1,0
NILS19,AN17_P1,1
LM33,AN17_P1,0
NILS44,AN17_P1,0
NILS53,AN17_P1,0
NILS76,AN17_P1,0
NILS63,AN17_P1,0
NILS69,AN17_P1,0
ECOR66,AN17_P1,0
E234869,AN17_P1,1
FNB7,AN17_P1,0
DEC2A,AN17_P1,0
DEC1A,AN17_P1,0
FNB4,AN17_P1,0
BDX09,AN17_P1,0
AN03,AN17_P1,0
H10010155MI,AN17_P1,0
H10010034SM,AN17_P1,0
NILS60,AN17_P1,0
H10010053KC,AN17_P1,0
H10030054PP,AN17_P1,0
B1932,AN17_P1,0
ROAR434,AN17_P1,1
001023,AN17_P1,0
003026,AN17_P1,0
921A,AN17_P1,0
916A,AN17_P1,1
E1426,AN17_P1,0
H95,AN17_P1,0
H10020069VG,AN17_P1,0
ECOR38,AN17_P1,0
ECOR39,AN17_P1,1
ECOR41,AN17_P1,0
ECOR40,AN17_P1,0
IAI39,AN17_P1,1
IAI36,AN17_P1,0
ECOR35,AN17_P1,1
IAI58,AN17_P1,1
ECOR36,AN17_P1,1
NILS36,AN17_P1,0
IAI35,AN17_P1,1
IAI33,AN17_P1,1
NILS01,AN17_P1,0
PDP21,AN17_P1,1
NILS39,AN17_P1,0
NILS50,AN17_P1,0
NILS46,AN17_P1,0
LM08,AN17_P1,0
NILS18,AN17_P1,1
LM02,AN17_P1,0
DIJ07,AN17_P1,0
LM40,AN17_P1,0
BDX03,AN17_P1,0
IAI30,AN17_P1,0
IAI27,AN17_P1,0
ECOR47,AN17_P1,1
IAI24,AN17_P1,0
ECOR44,AN17_P1,0
NILS38,AN17_P1,0
NILS51,AN17_P1,0
ECOR49,AN17_P1,1
ECOR50,AN17_P1,1
NILS56,AN17_P1,0
ECOR46,AN17_P1,0
NILS42,AN17_P1,0
NILS52,AN17_P1,0
ECOR48,AN17_P1,1
NILS23,AN17_P1,0
ROAR178,AN17_P1,0
ROAR419,AN17_P1,0
H10040017BM,AN17_P1,0
H14,AN17_P1,0
H10030010GJ,AN17_P1,0
ROAR400,AN17_P1,0
ROAR205,AN17_P1,0
BCH953,AN17_P1,0
H10020064EM,AN17_P1,0
NILS49,AN17_P1,0
LM07,AN17_P1,0
H10010027SG,AN17_P1,0
H10050058MA,AN17_P1,0
NILS24,AN17_P1,0
ROAR334,AN17_P1,0
ROAR047,AN17_P1,0
ROAR072,AN17_P1,0
ROAR061,AN17_P1,0
ROAR082,AN17_P1,0
H4,AN17_P1,0
H10010093RA,AN17_P1,0
H48,AN17_P1,0
H47,AN17_P1,0
H70,AN17_P1,0
H10010125BM,AN17_P1,0
ECOR34,AN17_P1,0
ECOR32,AN17_P1,0
ECOR33,AN17_P1,0
ECOR30,AN17_P1,1
ECOR29,AN17_P1,0
LF50,AN17_P1,0
IAI01,AN17_P1,0
ECOR67,AN17_P1,0
NILS02,AN17_P1,0
ECOR26,AN17_P1,0
ECOR27,AN17_P1,1
ECOR28,AN17_P1,0
ECOR45,AN17_P1,0
55989,AN17_P1,0
IAI02,AN17_P1,1
NILS33,AN17_P1,0
IAI21,AN17_P1,1
ECOR69,AN17_P1,0
ECOR58,AN17_P1,0
ECOR72,AN17_P1,0
H10030071CJ,AN17_P1,0
NILS47,AN17_P1,0
H10050012LM,AN17_P1,0
ECOR70,AN17_P1,0
H10070037HD,AN17_P1,0
H10030079GR,AN17_P1,1
H10010131CA,AN17_P1,0
H10030120PR,AN17_P1,0
H10030088BJ,AN17_P1,0
ECOR71,AN17_P1,0
H10020060CT,AN17_P1,0
NILS15,AN17_P1,0
IAI43,AN17_P1,0
H10060022LR,AN17_P1,0
H10030116VR,AN17_P1,0
H10010020MO,AN17_P1,0
H10030090VJ,AN17_P1,0
H10010013LJ,AN17_P1,0
H10030105CR,AN17_P1,0
H10030115LR,AN17_P1,0
PDP110,AN17_P1,0
IAI18,AN17_P1,0
H10070015DG,AN17_P1,0
NILS48,AN17_P1,0
IAI41,AN17_P1,0
H10040021WI,AN17_P1,0
H10020007MM,AN17_P1,0
NILS34,AN17_P1,0
NILS40,AN17_P1,0
H10020011MG,AN17_P1,0
H10010003SJ,AN17_P1,1
IAI42,AN17_P1,0
H10010154TK,AN17_P1,0
PDP351,AN17_P1,0
H10010121QJ,AN17_P1,0
IAI08,AN17_P1,0
H10060003SL,AN17_P1,0
IAI40,AN17_P1,0
IAI37,AN17_P1,0
ECOR11,AN17_P1,1
NILS09,AN17_P1,0
NILS30,AN17_P1,1
NILS32,AN17_P1,0
IAI10,AN17_P1,1
IAI31,AN17_P1,0
IAI04,AN17_P1,0
AN24,AN17_P1,0
NILS06,AN17_P1,0
NILS22,AN17_P1,0
NAN33,AN17_P1,0
IAI34,AN17_P1,1
NIC06,AN17_P1,0
NILS16,AN17_P1,0
IAI17,AN17_P1,1
IAI15,AN17_P1,1
ECOR05,AN17_P1,0
IAI11,AN17_P1,0
NILS35,AN17_P1,0
ECOR10,AN17_P1,0
ECOR43A,AN17_P1,0
ECOR12,AN17_P1,0
IAI14,AN17_P1,0
IAI19,AN17_P1,0
IAI20,AN17_P1,1
ECOR25,AN17_P1,0
IAI26,AN17_P1,1
ECOR01,AN17_P1,0
IAI44,AN17_P1,0
ECOR08,AN17_P1,0
NILS13,AN17_P1,0
IAI07,AN17_P1,0
NILS10,AN17_P1,0
BE,AN17_P1,0
NILS07,AN17_P1,0
ECOR09,AN17_P1,0
NILS14,AN17_P1,0
ECOR13,AN17_P1,1
ECOR03,AN17_P1,0
NILS11,AN17_P1,1
IAI06,AN17_P1,1
ECOR02,AN17_P1,1
IAI13,AN17_P1,0
IAI09,AN17_P1,1
ECOR14,AN17_P1,0
IAI25,AN17_P1,1
IAI22,AN17_P1,0
IAI28,AN17_P1,0
NILS08,AN17_P1,0
ECOR07,AN17_P1,0
IAI29,AN17_P1,0
IAI12,AN17_P1,0
ECOR21,AN17_P1,0
ECOR20,AN17_P1,0
ECOR18,AN17_P1,0
ECOR19,AN17_P1,0
NILS17,AN17_P1,0
NILS12,AN17_P1,1
ECOR06,AN17_P1,0
ECOR23,AN17_P1,0
NILS41,AN17_P1,0
BL21,AN17_P1,1
ECOR17,AN17_P1,0
NILS03,AN17_P1,0
ECOR22,AN17_P1,0
ECOR16,AN17_P1,1
NILS04,AN17_P1,0
ECOR15,AN17_P1,0
NILS43,AN17_P1,1
ECOR04,AN17_P1,0
IAI16,AN17_P1,1
IAI23,AN17_P1,0
NILS37,AN17_P1,0
IAI03,AN17_P1,0
ECOR24,AN17_P1,1
ROAR274,AN17_P1,0
ECOR42,AN17_P1,0
IAI50,AN17_P1,0
ROAR036,AN17_P1,0
EC6230,AN17_P1,0
025010,AN17_P1,0
NILS05,AN17_P1,0
ROAR387,AN17_P1,1
B6A1,AN17_P1,0
ECOR31,AN17_P1,0
LMR3158,AN17_P1,0
ROAR131,AN17_P1,0
ROAR059,AN17_P1,0
EDL933,AN17_P1,0
ECOR37,AN17_P1,0
ROAR029,AN17_P1,0
IAI05,AN17_P1,0
ROAR012,AN17_P1,1
NILS45,AN17_P1,1
H442,AN17_P1,0
E2052,AN17_P1,0
TW10509,AN17_P1,0
H009,AN17_P1,0
H384,AN17_P1,1
E7519,AN17_P1,0
NILS31,AN17_P1,0
370D,AN17_P1,0
E4962,AN17_P1,0
M863,AN17_P1,0
IAI32,AN17_P1,0
IAI45,AN17_P1,0
ROAR185,AN17_P1,0
H10030019BM,AN17_P1,0
C2119,AN17_P1,0
B1747,AN17_P1,0
H10040007OM,AN17_P1,0
B12I13,AN17_P1,0
E1492,AN17_P1,0
B253,AN17_P1,0
EFERGUSONIIIVAN,AN17_P1,0
ATCC35469T,AN17_P1,1
ROAR344,AN17_P1,0
B691,AN17_P1,0
ROAR176,AN17_P1,0
ROAR220,AN17_P1,0
ROAR130,AN17_P1,0
ROAR129,AN17_P1,0
ROAR292,AN17_P1,0
ROAR145,AN17_P1,1
ROAR043,AN17_P1,0
ROAR438,AN17_P1,0
ROAR291,AN17_P1,0
ROAR116,AN17_P1,0
B49,AN17_P1,0
ROAR019,AN17_P1,0
B1147,AN17_P1,0
S1109,AN17_P1,0
EALBERTIICIP107988T,AN17_P1,0
S184,AN17_P1,0
B090,AN17_P1,0
B156,AN17_P1,0
S191,AN17_P1,0
B992,AN17_P1,0
ECOR54,AN24_P4,0
DIJ06,AN24_P4,0
ECOR52,AN24_P4,0
ECOR51,AN24_P4,1
ECOR55,AN24_P4,1
IAI54,AN24_P4,0
ECOR57,AN24_P4,0
IAI72,AN24_P4,0
NILS59,AN24_P4,0
LF31,AN24_P4,0
NILS71,AN24_P4,0
AN17,AN24_P4,1
T147,AN24_P4,1
ECOR56,AN24_P4,0
NILS74,AN24_P4,0
IAI68,AN24_P4,0
IAI62,AN24_P4,0
IAI63,AN24_P4,0
NILS79,AN24_P4,0
NILS72,AN24_P4,0
IAI76,AN24_P4,0
IAI75,AN24_P4,0
NILS29,AN24_P4,0
NILS65,AN24_P4,0
IAI57,AN24_P4,0
IAI82,AN24_P4,0
IAI73,AN24_P4,0
536,AN24_P4,1
IAI64,AN24_P4,1
NILS81,AN24_P4,0
IAI55,AN24_P4,0
IAI70,AN24_P4,0
NILS82,AN24_P4,0
NILS78,AN24_P4,0
NILS57,AN24_P4,1
AL505,AN24_P4,1
NILS67,AN24_P4,0
IAI60,AN24_P4,0
IAI66,AN24_P4,0
IAI46,AN24_P4,0
LF7074,AN24_P4,0
IAI56,AN24_P4,0
IAI61,AN24_P4,0
ECOR61,AN24_P4,0
ECOR62,AN24_P4,0
IAI38,AN24_P4,0
IAI59,AN24_P4,0
IAI69,AN24_P4,0
IAI65,AN24_P4,0
NILS68,AN24_P4,0
NILS21,AN24_P4,0
NILS66,AN24_P4,0
ECOR59,AN24_P4,0
ECOR60,AN24_P4,0
IAI71,AN24_P4,0
NILS75,AN24_P4,0
IAI77,AN24_P4,0
NILS70,AN24_P4,0
ECOR53,AN24_P4,0
IAI74,AN24_P4,0
NILS54,AN24_P4,0
T145,AN24_P4,0
IAI51,AN24_P4,0
NILS62,AN24_P4,0
MT1B1,AN24_P4,0
NILS61,AN24_P4,0
LF82,AN24_P4,0
LF73,AN24_P4,0
NRG807C,AN24_P4,0
NILS26,AN24_P4,0
NILS80,AN24_P4,0
IAI53,AN24_P4,0
T205,AN24_P4,0
ED1A,AN24_P4,0
034026C1,AN24_P4,0
035004,AN24_P4,0
VDG427,AN24_P4,0
IAI48,AN24_P4,0
BEN4D,AN24_P4,0
NILS20,AN24_P4,0
034008,AN24_P4,0
001031C1,AN24_P4,0
013008,AN24_P4,0
COLF12G,AN24_P4,0
381A,AN24_P4,0
ECOR65,AN24_P4,0
IAI49,AN24_P4,0
NILS77,AN24_P4,0
IAI78,AN24_P4,0
IAI81,AN24_P4,1
IAI79,AN24_P4,0
IAI80,AN24_P4,1
ECOR64,AN24_P4,1
IAI67,AN24_P4,0
NILS28,AN24_P4,0
NILS58,AN24_P4,0
IAI47,AN24_P4,0
ECOR63,AN24_P4,0
ASP51G,AN24_P4,0
S176,AN24_P4,0
H10030035DE,AN24_P4,0
S21,AN24_P4,0
FN116,AN24_P4,0
FNB9,AN24_P4,0
FN126,AN24_P4,0
S111,AN24_P4,0
FN89,AN24_P4,0
NILS64,AN24_P4,0
LI10,AN24_P4,0
NILS25,AN24_P4,0
NILS55,AN24_P4,0
NILS27,AN24_P4,0
NILS73,AN24_P4,0
NILS19,AN24_P4,0
LM33,AN24_P4,0
NILS44,AN24_P4,0
NILS53,AN24_P4,0
NILS76,AN24_P4,0
NILS63,AN24_P4,0
NILS69,AN24_P4,0
ECOR66,AN24_P4,0
E234869,AN24_P4,1
FNB7,AN24_P4,0
DEC2A,AN24_P4,0
DEC1A,AN24_P4,0
FNB4,AN24_P4,0
BDX09,AN24_P4,0
AN03,AN24_P4,0
H10010155MI,AN24_P4,0
H10010034SM,AN24_P4,0
NILS60,AN24_P4,0
H10010053KC,AN24_P4,0
H10030054PP,AN24_P4,0
B1932,AN24_P4,0
ROAR434,AN24_P4,0
001023,AN24_P4,0
003026,AN24_P4,0
921A,AN24_P4,0
916A,AN24_P4,0
E1426,AN24_P4,0
H95,AN24_P4,0
H10020069VG,AN24_P4,0
ECOR38,AN24_P4,0
ECOR39,AN24_P4,0
ECOR41,AN24_P4,0
ECOR40,AN24_P4,0
IAI39,AN24_P4,0
IAI36,AN24_P4,0
ECOR35,AN24_P4,0
IAI58,AN24_P4,0
ECOR36,AN24_P4,0
NILS36,AN24_P4,0
IAI35,AN24_P4,0
IAI33,AN24_P4,0
NILS01,AN24_P4,0
PDP21,AN24_P4,0
NILS39,AN24_P4,0
NILS50,AN24_P4,0
NILS46,AN24_P4,0
LM08,AN24_P4,0
NILS18,AN24_P4,0
LM02,AN24_P4,0
DIJ07,AN24_P4,0
LM40,AN24_P4,0
BDX03,AN24_P4,0
IAI30,AN24_P4,0
IAI27,AN24_P4,0
ECOR47,AN24_P4,0
IAI24,AN24_P4,0
ECOR44,AN24_P4,0
NILS38,AN24_P4,0
NILS51,AN24_P4,0
ECOR49,AN24_P4,0
ECOR50,AN24_P4,1
NILS56,AN24_P4,0
ECOR46,AN24_P4,0
NILS42,AN24_P4,0
NILS52,AN24_P4,0
ECOR48,AN24_P4,0
NILS23,AN24_P4,0
ROAR178,AN24_P4,0
ROAR419,AN24_P4,0
H10040017BM,AN24_P4,0
H14,AN24_P4,0
H10030010GJ,AN24_P4,0
ROAR400,AN24_P4,0
ROAR205,AN24_P4,0
BCH953,AN24_P4,0
H10020064EM,AN24_P4,0
NILS49,AN24_P4,0
LM07,AN24_P4,0
H10010027SG,AN24_P4,0
H10050058MA,AN24_P4,0
NILS24,AN24_P4,0
ROAR334,AN24_P4,0
ROAR047,AN24_P4,0
ROAR072,AN24_P4,0
ROAR061,AN24_P4,0
ROAR082,AN24_P4,0
H4,AN24_P4,0
H10010093RA,AN24_P4,0
H48,AN24_P4,0
H47,AN24_P4,0
H70,AN24_P4,0
H10010125BM,AN24_P4,0
ECOR34,AN24_P4,0
ECOR32,AN24_P4,0
ECOR33,AN24_P4,0
ECOR30,AN24_P4,0
ECOR29,AN24_P4,0
LF50,AN24_P4,0
IAI01,AN24_P4,0
ECOR67,AN24_P4,0
NILS02,AN24_P4,0
ECOR26,AN24_P4,0
ECOR27,AN24_P4,0
ECOR28,AN24_P4,1
ECOR45,AN24_P4,0
55989,AN24_P4,1
IAI02,AN24_P4,0
NILS33,AN24_P4,0
IAI21,AN24_P4,0
ECOR69,AN24_P4,0
ECOR58,AN24_P4,0
ECOR72,AN24_P4,0
H10030071CJ,AN24_P4,0
NILS47,AN24_P4,0
H10050012LM,AN24_P4,0
ECOR70,AN24_P4,0
H10070037HD,AN24_P4,0
H10030079GR,AN24_P4,0
H10010131CA,AN24_P4,0
H10030120PR,AN24_P4,0
H10030088BJ,AN24_P4,0
ECOR71,AN24_P4,0
H10020060CT,AN24_P4,0
NILS15,AN24_P4,0
IAI43,AN24_P4,0
H10060022LR,AN24_P4,0
H10030116VR,AN24_P4,0
H10010020MO,AN24_P4,0
H10030090VJ,AN24_P4,0
H10010013LJ,AN24_P4,0
H10030105CR,AN24_P4,0
H10030115LR,AN24_P4,0
PDP110,AN24_P4,0
IAI18,AN24_P4,0
H10070015DG,AN24_P4,0
NILS48,AN24_P4,0
IAI41,AN24_P4,0
H10040021WI,AN24_P4,0
H10020007MM,AN24_P4,0
NILS34,AN24_P4,0
NILS40,AN24_P4,0
H10020011MG,AN24_P4,0
H10010003SJ,AN24_P4,0
IAI42,AN24_P4,0
H10010154TK,AN24_P4,0
PDP351,AN24_P4,0
H10010121QJ,AN24_P4,0
IAI08,AN24_P4,0
H10060003SL,AN24_P4,0
IAI40,AN24_P4,1
IAI37,AN24_P4,1
ECOR11,AN24_P4,1
NILS09,AN24_P4,1
NILS30,AN24_P4,1
NILS32,AN24_P4,0
IAI10,AN24_P4,1
IAI31,AN24_P4,1
IAI04,AN24_P4,1
AN24,AN24_P4,1
NILS06,AN24_P4,0
NILS22,AN24_P4,0
NAN33,AN24_P4,0
IAI34,AN24_P4,1
NIC06,AN24_P4,0
NILS16,AN24_P4,0
IAI17,AN24_P4,1
IAI15,AN24_P4,1
ECOR05,AN24_P4,1
IAI11,AN24_P4,1
NILS35,AN24_P4,0
ECOR10,AN24_P4,1
ECOR43A,AN24_P4,0
ECOR12,AN24_P4,1
IAI14,AN24_P4,1
IAI19,AN24_P4,1
IAI20,AN24_P4,0
ECOR25,AN24_P4,0
IAI26,AN24_P4,0
ECOR01,AN24_P4,1
IAI44,AN24_P4,0
ECOR08,AN24_P4,0
NILS13,AN24_P4,0
IAI07,AN24_P4,0
NILS10,AN24_P4,0
BE,AN24_P4,1
NILS07,AN24_P4,0
ECOR09,AN24_P4,0
NILS14,AN24_P4,0
ECOR13,AN24_P4,0
ECOR03,AN24_P4,0
NILS11,AN24_P4,0
IAI06,AN24_P4,0
ECOR02,AN24_P4,0
IAI13,AN24_P4,1
IAI09,AN24_P4,0
ECOR14,AN24_P4,0
IAI25,AN24_P4,0
IAI22,AN24_P4,0
IAI28,AN24_P4,0
NILS08,AN24_P4,0
ECOR07,AN24_P4,0
IAI29,AN24_P4,0
IAI12,AN24_P4,0
ECOR21,AN24_P4,0
ECOR20,AN24_P4,0
ECOR18,AN24_P4,0
ECOR19,AN24_P4,0
NILS17,AN24_P4,0
NILS12,AN24_P4,0
ECOR06,AN24_P4,0
ECOR23,AN24_P4,0
NILS41,AN24_P4,0
BL21,AN24_P4,0
ECOR17,AN24_P4,0
NILS03,AN24_P4,0
ECOR22,AN24_P4,0
ECOR16,AN24_P4,0
NILS04,AN24_P4,0
ECOR15,AN24_P4,0
NILS43,AN24_P4,0
ECOR04,AN24_P4,0
IAI16,AN24_P4,0
IAI23,AN24_P4,0
NILS37,AN24_P4,0
IAI03,AN24_P4,0
ECOR24,AN24_P4,0
ROAR274,AN24_P4,0
ECOR42,AN24_P4,0
IAI50,AN24_P4,0
ROAR036,AN24_P4,0
EC6230,AN24_P4,0
025010,AN24_P4,0
NILS05,AN24_P4,0
ROAR387,AN24_P4,0
B6A1,AN24_P4,0
ECOR31,AN24_P4,0
LMR3158,AN24_P4,1
ROAR131,AN24_P4,0
ROAR059,AN24_P4,0
EDL933,AN24_P4,0
ECOR37,AN24_P4,0
ROAR029,AN24_P4,1
IAI05,AN24_P4,0
ROAR012,AN24_P4,0
NILS45,AN24_P4,0
H442,AN24_P4,0
E2052,AN24_P4,0
TW10509,AN24_P4,0
H009,AN24_P4,0
H384,AN24_P4,0
E7519,AN24_P4,0
NILS31,AN24_P4,0
370D,AN24_P4,0
E4962,AN24_P4,0
M863,AN24_P4,0
IAI32,AN24_P4,0
IAI45,AN24_P4,0
ROAR185,AN24_P4,0
H10030019BM,AN24_P4,0
C2119,AN24_P4,0
B1747,AN24_P4,0
H10040007OM,AN24_P4,0
B12I13,AN24_P4,0
E1492,AN24_P4,0
B253,AN24_P4,0
EFERGUSONIIIVAN,AN24_P4,1
ATCC35469T,AN24_P4,0
ROAR344,AN24_P4,1
B691,AN24_P4,0
ROAR176,AN24_P4,0
ROAR220,AN24_P4,0
ROAR130,AN24_P4,0
ROAR129,AN24_P4,0
ROAR292,AN24_P4,1
ROAR145,AN24_P4,1
ROAR043,AN24_P4,0
ROAR438,AN24_P4,0
ROAR291,AN24_P4,0
ROAR116,AN24_P4,0
B49,AN24_P4,0
ROAR019,AN24_P4,0
B1147,AN24_P4,0
S1109,AN24_P4,1
EALBERTIICIP107988T,AN24_P4,0
S184,AN24_P4,0
B090,AN24_P4,0
B156,AN24_P4,0
S191,AN24_P4,0
B992,AN24_P4,0
ECOR54,BDX03_P1,0
DIJ06,BDX03_P1,0
ECOR52,BDX03_P1,0
ECOR51,BDX03_P1,1
ECOR55,BDX03_P1,1
IAI54,BDX03_P1,0
ECOR57,BDX03_P1,0
IAI72,BDX03_P1,1
NILS59,BDX03_P1,0
LF31,BDX03_P1,0
NILS71,BDX03_P1,0
AN17,BDX03_P1,1
T147,BDX03_P1,0
ECOR56,BDX03_P1,0
NILS74,BDX03_P1,0
IAI68,BDX03_P1,0
IAI62,BDX03_P1,0
IAI63,BDX03_P1,0
NILS79,BDX03_P1,0
NILS72,BDX03_P1,0
IAI76,BDX03_P1,0
IAI75,BDX03_P1,0
NILS29,BDX03_P1,0
NILS65,BDX03_P1,0
IAI57,BDX03_P1,0
IAI82,BDX03_P1,0
IAI73,BDX03_P1,0
536,BDX03_P1,1
IAI64,BDX03_P1,1
NILS81,BDX03_P1,0
IAI55,BDX03_P1,1
IAI70,BDX03_P1,0
NILS82,BDX03_P1,1
NILS78,BDX03_P1,0
NILS57,BDX03_P1,1
AL505,BDX03_P1,1
NILS67,BDX03_P1,1
IAI60,BDX03_P1,0
IAI66,BDX03_P1,0
IAI46,BDX03_P1,0
LF7074,BDX03_P1,1
IAI56,BDX03_P1,0
IAI61,BDX03_P1,0
ECOR61,BDX03_P1,1
ECOR62,BDX03_P1,1
IAI38,BDX03_P1,1
IAI59,BDX03_P1,1
IAI69,BDX03_P1,1
IAI65,BDX03_P1,1
NILS68,BDX03_P1,1
NILS21,BDX03_P1,0
NILS66,BDX03_P1,0
ECOR59,BDX03_P1,0
ECOR60,BDX03_P1,0
IAI71,BDX03_P1,1
NILS75,BDX03_P1,0
IAI77,BDX03_P1,0
NILS70,BDX03_P1,0
ECOR53,BDX03_P1,0
IAI74,BDX03_P1,1
NILS54,BDX03_P1,1
T145,BDX03_P1,0
IAI51,BDX03_P1,0
NILS62,BDX03_P1,0
MT1B1,BDX03_P1,0
NILS61,BDX03_P1,0
LF82,BDX03_P1,0
LF73,BDX03_P1,0
NRG807C,BDX03_P1,0
NILS26,BDX03_P1,0
NILS80,BDX03_P1,0
IAI53,BDX03_P1,0
T205,BDX03_P1,0
ED1A,BDX03_P1,0
034026C1,BDX03_P1,0
035004,BDX03_P1,0
VDG427,BDX03_P1,0
IAI48,BDX03_P1,0
BEN4D,BDX03_P1,0
NILS20,BDX03_P1,0
034008,BDX03_P1,0
001031C1,BDX03_P1,0
013008,BDX03_P1,0
COLF12G,BDX03_P1,0
381A,BDX03_P1,0
ECOR65,BDX03_P1,0
IAI49,BDX03_P1,0
NILS77,BDX03_P1,0
IAI78,BDX03_P1,0
IAI81,BDX03_P1,1
IAI79,BDX03_P1,1
IAI80,BDX03_P1,1
ECOR64,BDX03_P1,1
IAI67,BDX03_P1,0
NILS28,BDX03_P1,1
NILS58,BDX03_P1,0
IAI47,BDX03_P1,0
ECOR63,BDX03_P1,1
ASP51G,BDX03_P1,0
S176,BDX03_P1,0
H10030035DE,BDX03_P1,0
S21,BDX03_P1,0
FN116,BDX03_P1,0
FNB9,BDX03_P1,0
FN126,BDX03_P1,0
S111,BDX03_P1,0
FN89,BDX03_P1,0
NILS64,BDX03_P1,0
LI10,BDX03_P1,0
NILS25,BDX03_P1,0
NILS55,BDX03_P1,0
NILS27,BDX03_P1,0
NILS73,BDX03_P1,0
NILS19,BDX03_P1,0
LM33,BDX03_P1,0
NILS44,BDX03_P1,0
NILS53,BDX03_P1,0
NILS76,BDX03_P1,0
NILS63,BDX03_P1,0
NILS69,BDX03_P1,0
ECOR66,BDX03_P1,0
E234869,BDX03_P1,1
FNB7,BDX03_P1,0
DEC2A,BDX03_P1,0
DEC1A,BDX03_P1,0
FNB4,BDX03_P1,0
BDX09,BDX03_P1,0
AN03,BDX03_P1,0
H10010155MI,BDX03_P1,0
H10010034SM,BDX03_P1,0
NILS60,BDX03_P1,0
H10010053KC,BDX03_P1,0
H10030054PP,BDX03_P1,0
B1932,BDX03_P1,0
ROAR434,BDX03_P1,0
001023,BDX03_P1,0
003026,BDX03_P1,0
921A,BDX03_P1,0
916A,BDX03_P1,0
E1426,BDX03_P1,0
H95,BDX03_P1,0
H10020069VG,BDX03_P1,0
ECOR38,BDX03_P1,0
ECOR39,BDX03_P1,1
ECOR41,BDX03_P1,0
ECOR40,BDX03_P1,0
IAI39,BDX03_P1,1
IAI36,BDX03_P1,0
ECOR35,BDX03_P1,0
IAI58,BDX03_P1,0
ECOR36,BDX03_P1,1
NILS36,BDX03_P1,0
